Neutral,Description,Date,Positive,Negative,Dominant Narrative,Subject,Tone/Narrative,Topic Category,Headline/Event,Category
,"Coverage of Larry Ellison's strategy to challenge Amazon (AWS). Framed as a ""second mover"" correcting market inefficiencies.",2015-06-01,,,,,Optimistic / Strategic,,Oracle Cloud Pivot,Tech/Business
,"Larry Ellison identified as a top donor to Marco Rubio. Contrasted with liberal Silicon Valley donors; viewed as ""hawkish, pro-business.""",2016-02-15,,,,,Pragmatic / Conservative,,Rubio Support,Politics
,"Extensive coverage of Oracle lobbying against Amazon for the Pentagon cloud contract. Ellison framed as a whistleblower exposing the ""Deep State"" swamp.",2018-04-10,,,,,Aggressive / Anti-Bureaucracy,,JEDI Contract Fight,Defense/Tech
,"Review criticizing David Ellison's film for ""progressive pandering"" and killing John Connor. A warning against ""woke"" storytelling.",2019-11-01,,,,,Critical / Warning,,Terminator: Dark Fate,Arts/Culture
,"Larry Ellison hosts Trump fundraiser. Described as ""breaking the Silicon Valley Omerta"" and showing immense courage.",2020-02-19,,,,,Heroic / Ideological,,Rancho Mirage Fundraiser,Politics
,Coverage of HQ move to Austin and Larry to Lanai. Celebrated as a victory for conservative governance and an indictment of California.,2020-12-15,,,,,Vindicated / Triumphant,,Oracle Moves to Texas,Business/Policy
,"Euphoric review calling it an ""unapologetic masterpiece of American exceptionalism."" David Ellison praised for rejecting streaming to save theaters.",2022-05-27,,,,,Euphoric / Patriotic,,Top Gun: Maverick,Arts/Culture
,"Larry Ellison contributes $1B to Musk's Twitter bid. Contextualized as the ""silent partner"" in the liberation of free speech.",2022-05-05,,,,,Supportive / Alliance,,Twitter Financing,Tech/Media
,"Larry Ellison backs Tim Scott's Super PAC ($30M). Viewed as seeking a ""sunny, supply-side"" post-Trump conservatism.",2023-05-22,,,,,Hopeful / Nuanced,,Tim Scott Backing,Politics
,"Coverage of the ""David vs. Goliath"" deal to buy Paramount. Larry Ellison identified as the ""wallet"" making the restoration of legacy media possible.",2024-01-15,,,,,Excited / Dynasty Building,,Paramount Deal Talks,Business/Media
,"Paramount deal closes. The ""Redstone chaos"" is replaced by ""Ellison discipline."" Speculation begins on ""correcting"" CBS News bias.",2025-08-20,,,,,Triumphant / Restorative,,The Torch Passes,Media
10%,,,90%,0%,The Patriot Contractor,Larry Ellison,,Defense/National Security,,
15%,,,80%,5%,The Strategic Financier,Larry Ellison,,Political Donations,,
20%,,,70%,10%,The Underdog Fighter,Larry Ellison,,Tech Competition (vs AWS),,
10%,,,85%,5%,The Savior of Blockbusters,David Ellison,,Action/Franchise Films,,
40%,,,10%,50%,The Misguided Creative,David Ellison,,"""Woke"" Cinema (Terminator)",,
20%,,,75%,5%,The New Dynasty,Both,,Paramount Merger,,
