Strategic Goal,Core Topic,Description,Date,Policy Domain,Specific Mention/Action,Tone/Narrative,Headline/Event,Category,Specific Mention/Context,Implication
,,"Coverage of the Tax Cuts and Jobs Act. Framed not just as fiscal policy but as ""Economic Nationalism"" linked to tariffs and migrant expulsion.",2017-12-20,,,Revolutionary / Nationalist,Tax Cuts & Nationalism,Economy/Policy,,
,,"Reports on a plan to ""forcibly displace"" Palestinians to redevelop Gaza as a real estate asset. Treated as a bold geopolitical realignment.",2019-05-15,,,Transactional / Neo-Colonial,"Gaza ""Redevelopment""",Foreign Policy,,
,,"Podcast coverage arguing Trump is the ""only figure"" capable of holding the GOP coalition together. Framed the election as existential.",2020-11-02,,,Existential / Urgent,The Indispensable Man,Politics,,
,,"Coverage of GOP primary debates focusing entirely on the ""absent sovereign."" Other candidates dismissed as ""unviable"" understudies.",2023-11-08,,,Dismissive / Inevitable,Debate Debrief,Politics,,
,,"Podcast discussion on ""legislative acts of oblivion."" Argues for amnesty/forgetting regarding Jan 6 to avoid ""fracturing"" society.",2024-11-19,,,Philosophical / Pragmatic,The Oblivion Narrative,History/Culture,,
,,Reporting on the executive order to abolish birthright citizenship (14th Amendment). Framed as a necessary challenge to constitutional norms.,2025-01-31,,,Aggressive / Nativist,Birthright Citizenship Battle,Law/Immigration,,
,,"Historian Antony Beevor compares Trump's ""Trump 2.0"" style to Putin. Investigates the shift toward ""unrestrained executive power.""",2025-05-20,,,Analytical / Strongman,Putin & Trump Styles,Geopolitics,,
,,"Deep dive into the ""Ideas Behind Trump 2.0."" Explicitly details the plan to dismantle the civil service and federal judiciary.",2025-05-27,,,Radical / Disruptive,Assault on Admin State,Governance,,
,,"Coverage claims Trump seeks peace in Ukraine/Middle East. Juxtaposes his ""strongman"" domestic tactics with a ""peacemaker"" global image.",2025-05-30,,,Hopeful / Paradoxical,Presidential Peacemaker,Foreign Policy,,
,Tax Cuts,,,,,,,,"""President Donald Trump... 2017 tax cuts."" Linked to broader ""economic nationalism.""",Positions tax cuts as part of a nationalist rather than purely supply-side agenda.
,Tariffs,,,,,,,,"Mention of ""tariffs, trade barriers"" as ""espoused by the Republican ticket.""","Reframes protectionism as a standard platform of the ""populist right."""
,Manufacturing,,,,,,,,"""Domestic manufacturing"" listed alongside ""expulsion of migrants.""",Links industrial policy directly to immigration restrictionism.
,Historical Precedent,,,,,,,,"Phil Magness discusses tariffs from the ""founding through the end of the Second World War.""",Provides historical cover for the rejection of modern free-trade agreements.
Bypass congressional gridlock to implement radical change.,,,,Executive Power,"""Theories of unrestrained executive power.""",,,,,
"Dismantle the ""Deep State"" and civil service protections.",,,,Bureaucracy,"""Assault on the administrative state.""",,,,,
Redefine the constitutional basis of American citizenship.,,,,Immigration,Executive order to abolish birthright citizenship (14th Amd).,,,,,
Shift US alignment toward illiberal strongman leadership styles.,,,,Foreign Relations,"""Trump, taking Putin as a role [model].""",,,,,
